"trp_id";"msnr";"name";"road_reference";"road_link_position";"lat";"lon";"sd";"adt";"index_16_17";"index_17_18";"index_18_19";"index"
"43849B2033722";800503;"Borgestad sykkeltellepunkt";"FG32 hp204 m2359";"0.44663@2033722";59,155557;9,657146;117;200;-7,875;-0,796;-8,679;-16,5
"41296B1876847";800504;"Smieøya sykkeltellepunkt";"FV32 hp3 m1950";"0.04902@521400";59,206215;9,609075;263;430;0,125;9,687;31,25;44,1
"09375B1846469";800506;"Klevstrand sykkeltellepunkt";"RV36 hp1 m3199";"0.8256@521440";59,117621;9,649409;NA;NA;-16,932;0,545;-8,617;-23,7
"99100B1687283";800507;"Menstad sykkeltellepunkt";"FV32 hp4 m319";"0.89521@521398";59,171914;9,643458;95;160;-3,005;0,981;-7,534;-9,4
"80565B1689290";800508;"Nenset sykkeltellepunkt";"RG36 hp202 m2888";"0.14462@1689290";59,168377;9,634257;133;200;-19,988;-2,997;-2,885;-24,6
"62293B521240";800509;"Ballestad sykkeltellepunkt";"FV3270 hp1 m3507";"0.62293@521240";59,186206;9,643534;93;130;-7,873;4,107;3,52;-0,7
"09211B1846343";800510;"Ørviksletta sykkeltellepunkt";"RG354 hp201 m4678";"0.89474@1846429";59,065204;9,689668;NA;NA;6,381;6,634;-9,919;2,2
"27243B1688380";800511;"Elstrømbrua sykkeltellepunkt";"FG357 hp250 m270";"0.27243@1688380";59,199907;9,583964;184;320;-4,538;-1,965;8,836;1,9
"83247B1886516";800512;"Moflata sykkeltellepunkt";"FG59 hp250 m1320";"0.83247@1886516";59,1932;9,589614;64;110;-9,253;1,156;38,754;27,4
"57147B1846471";800513;"Sundjordet sykkeltellepunkt";"KG3230 hp1 m180";"0.52014@2123960";59,136536;9,64023;131;220;-12,23;-7,893;NA;-19,2
"51338B1983155";800514;"Stathelle sykkeltellepunkt";"FG352 hp201 m380";"0.51338@1983155";59,042745;9,696554;51;70;-7,455;8,6;-19,937;-19,5
"40000B1846336";800515;"Nystrand sykkeltellepunkt";"FG3260 hp1 m9637";"0.4@1846336";59,10765;9,700189;NA;NA;NA;NA;-24,224;-24,2
"28379B1846414";800517;"Skjelsvikdalen sykkeltellepunkt";"RG36 hp201 m711";"0.62744@1846414";59,100917;9,673228;NA;NA;-5,45;1,626;-5,675;-9,4
"57192B1687248";800518;"Bøle sykkeltellepunkt";"FG32 hp203 m4583";"0.57192@1687248";59,186016;9,627295;NA;NA;-27,382;2,502;46,064;8,7
"57692B1981530";800519;"Siljan sentrum sykkeltellepunkt";"KG1039 hp2 m45";"0.57692@1981530";59,27584;9,723218;NA;NA;-43,173;8,369;-27,39;-55,3
"21538B1865084";800520;"Lundedalen sykkeltellepunkt";"KG67200 hp1 m344";"0.21538@1865084";59,210059;9,598867;NA;NA;-34,813;4,179;-2,916;-34,1
"34958B521263";800521;"Gråten sykkeltellepunkt";"FV59 hp1 m513";"0.34958@521263";59,189204;9,61264;149;200;-15,693;0,667;-2,155;-17
"73718B1688281";800522;"Falkumbrua sykkeltellepunkt";"FG357 hp1 m1120";"0.73718@1688281";59,204808;9,588491;NA;NA;-21,6;0,204;3,659;-18,6
"96436B1688765";800523;"Klosterskogen sykkeltellepunkt";"RG36 hp2 m6108";"0.96436@1688765";59,187763;9,600905;93;140;-19,569;-1,014;28,148;2
"81577B1876809";800524;"Menstadbrua sykkeltellepunkt";"FG32 hp50 m585";"0.81577@1876809";59,174213;9,632475;54;90;-5,548;5,69;1,871;1,7
"69207B1875240";800525;"Siljanvegen sykkeltellepunkt";"FG32 hp202 m11188";"0.69207@1875240";59,221003;9,60462;15;20;16,203;22,497;-5,452;34,6
"55556B1864967";800526;"Jonassens bru sykkeltellepunkt";"KG64045 hp1 m160";"0.55556@1864967";59,20194;9,591125;138;190;-20,734;-0,337;-21,328;-37,9
"00264B521464";800527;"Luksefjellvegen sykkeltellepunkt";"FV3280 hp1 m26";"0.00264@521464";59,221422;9,604118;37;20;-13,145;2,484;16,564;3,8
"67987B1846201";800528;"Deichmannsgate sykkeltellepunkt";"KV1730 hp1 m218";"0.89279@490668";59,130924;9,646035;NA;NA;NA;25,735;4,9;31,9
"22594B1846448";800529;"Øyekastvegen sykkeltellepunkt";"FG356 hp50 m1018";"0.22594@1846448";59,127568;9,639104;NA;NA;NA;NA;NA;NA
"65361B1964954";800535;"Vallermyrene sykkeltellepunkt";"FG32 hp4 m5763";"0.65527@1959252";59,131614;9,681105;NA;NA;NA;25,356;-1,308;23,7
"47211B491325";800537;"Bedriftsvegen sykkeltellepunkt";"KV13300 hp3 m457";"0.47211@491325";59,178149;9,611292;NA;NA;NA;NA;-28,747;-28,7
